Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Line.L41,    338.877,    84.72,    56.48,    2070.15,    493.012, 1, 49, 3, 2.4 
Line.L42,    19.0707,     4.77,     3.18,    41.9442,    20.9863, 1, 1, 1, 2.4 
Line.L43,    329.702,    82.43,    54.95,    2004.41,    455.464, 0, 47, 3, 2.4 
Line.L44,    18.7232,     4.68,     3.12,      39.84,    19.9267, 1, 2, 1, 2.4 
Line.L45,    311.418,    77.85,    51.90,    1961.72,    430.587, 1, 45, 3, 2.4 
Line.L46,    9.40646,     2.35,     1.57,    20.0063,    10.0043, 1, 1, 1, 2.4 
Line.L47,    36.5849,     9.15,     6.10,    211.617,    151.186, 1, 1, 3, 2.4 
Line.L48,    262.767,    65.69,    43.79,    1641.31,    198.261, 3, 43, 3, 2.4 
Line.L49,    246.622,    61.66,    41.10,    1498.98,    99.2314, 1, 40, 3, 2.4 
Line.L50,    246.622,    61.66,    41.10,    1457.03,    75.8203, 1, 39, 3, 2.4 
Line.L51,    237.706,    59.43,    39.62,    1435.16,    62.5571, 0, 38, 3, 2.4 
Line.L52,          0,     0.00,     0.00,          0,          0, 0, 0, 3, 2.4 
Line.L53,          0,     0.00,     0.00,          0,          0, 0, 0, 3, 2.4 
Line.L54,          0,     0.00,     0.00,          0,          0, 0, 0, 3, 2.4 
Line.L55,          0,     0.00,     0.00,          0,          0, 0, 0, 3, 2.4 
Line.L56,          0,     0.00,     0.00,          0,          0, 0, 0, 3, 2.4 
Line.L57,          0,     0.00,     0.00,          0,          0, 0, 0, 1, 2.4 
Line.L58,          0,     0.00,     0.00,          0,          0, 0, 0, 3, 2.4 
Line.L59,          0,     0.00,     0.00,          0,          0, 0, 0, 1, 2.4 
Line.L60,          0,     0.00,     0.00,          0,          0, 0, 0, 3, 2.4 
Line.L61,          0,     0.00,     0.00,          0,          0, 0, 0, 3, 2.4 
Line.L62,          0,     0.00,     0.00,          0,          0, 0, 0, 3, 2.4 
Line.L63,          0,     0.00,     0.00,          0,          0, 0, 0, 3, 2.4 
Line.L64,          0,     0.00,     0.00,          0,          0, 0, 0, 3, 2.4 
Line.L65,          0,     0.00,     0.00,          0,          0, 0, 0, 3, 2.4 
Line.L66,    58.0781,    14.52,     9.68,    120.419,     60.358, 1, 4, 1, 2.4 
Line.L67,     133.78,    33.45,    22.30,    862.081,   -244.074, 0, 21, 3, 2.4 
Line.L68,    161.606,    40.40,    26.93,     -982.5,    183.722, 0, 25, 3, 2.4 
Line.L69,    48.4219,    12.11,     8.07,    100.252,    50.2144, 1, 3, 1, 2.4 
Line.L70,    29.0739,     7.27,     4.85,    60.0924,    30.0778, 1, 2, 1, 2.4 
Line.L71,    19.3874,     4.85,     3.23,    40.0246,    20.0205, 1, 1, 1, 2.4 
Line.L72,    56.1708,    14.04,     9.36,     119.19,    59.7256, 1, 3, 1, 2.4 
Line.L73,    127.225,    31.81,    21.20,    742.122,   -305.111, 3, 18, 3, 2.4 
Line.L74,      37.29,     9.32,     6.21,    78.9753,    39.5414, 1, 2, 1, 2.4 
Line.L75,    18.9332,     4.73,     3.16,    40.0341,    20.0284, 1, 1, 1, 2.4 
Line.L76,    75.5663,    18.89,    12.59,     239.28,   -468.402, 1, 7, 3, 2.4 
Line.L77,     58.655,    14.66,     9.78,    260.793,   -14.9967, 1, 8, 3, 2.4 
Line.L78,    77.9465,    19.49,    12.99,    198.897,   -489.043, 0, 6, 3, 2.4 
Line.L79,     18.017,     4.50,     3.00,    37.4022,    18.7065, 1, 1, 3, 2.4 
Line.L80,    77.9458,    19.49,    12.99,    161.397,   -507.914, 1, 5, 3, 2.4 
Line.L81,    84.3985,    21.10,    14.07,    120.923,   -528.728, 0, 4, 3, 2.4 
Line.L82,    84.3981,    21.10,    14.07,    60.5615,   -559.199, 1, 2, 3, 2.4 
Line.L83,    28.3053,     7.08,     4.72,    60.1741,    30.1464, 1, 2, 1, 2.4 
Line.L84,    84.3975,    21.10,    14.07,    20.2871,   -579.659, 1, 1, 3, 2.4 
Line.L85,     18.878,     4.72,     3.15,    40.0404,    20.0336, 1, 1, 1, 2.4 
Line.L86,    49.9707,    12.49,     8.33,    240.555,   -25.4473, 1, 7, 3, 2.4 
Line.L87,    20.7127,     5.18,     3.45,    40.0176,   -26.4144, 1, 1, 1, 2.4 
Line.L88,    33.5224,     8.38,     5.59,    160.414,   -19.2478, 0, 5, 3, 2.4 
Line.L89,    20.8901,     5.22,     3.48,    40.2749,   -30.3881, 1, 1, 1, 2.4 
Line.L90,      20.78,     5.20,     3.46,    120.099,    11.0715, 0, 4, 3, 2.4 
Line.L91,    20.7789,     5.19,     3.46,    40.0306,   -29.0102, 1, 1, 1, 2.4 
Line.L92,    19.3491,     4.84,     3.22,    80.0513,     40.055, 0, 3, 3, 2.4 
Line.L93,    19.3496,     4.84,     3.22,    40.0245,    20.0204, 1, 1, 1, 2.4 
Line.L94,    18.5342,     4.63,     3.09,    40.0152,    20.0159, 1, 2, 3, 2.4 
Line.L95,    9.26832,     2.32,     1.54,    20.0054,    10.0034, 1, 1, 1, 2.4 
Line.L96,    19.2676,     4.82,     3.21,    119.174,    59.6193, 1, 3, 3, 2.4 
Line.L97,    18.4486,     4.61,     3.07,    79.1583,    39.5963, 1, 2, 3, 2.4 
Line.L98,    18.4269,     4.61,     3.07,    39.1296,    19.5572, 1, 1, 3, 2.4 
Line.L99,  0.0022604,     0.00,     0.00, 1.41424E-010, -0.0147895, 0, 0, 3, 2.4 
Line.L118,    178.067,    44.52,    29.68,   -1102.55,    122.597, 0, 28, 3, 2.4 
Line.L100,    47.1981,    11.80,     7.87,    100.299,    50.2538, 1, 3, 1, 2.4 
Line.L101,    188.905,    47.23,    31.48,   -1203.93,    70.4942, 0, 31, 3, 2.4 
Line.L102,    37.7776,     9.44,     6.30,    80.1747,    40.1475, 1, 2, 1, 2.4 
Line.L103,    18.9055,     4.73,     3.15,    40.0608,    20.0501, 1, 1, 1, 2.4 
Line.L104,     36.877,     9.22,     6.15,    80.1286,    40.1061, 1, 2, 1, 2.4 
Line.L105,    188.905,    47.23,    31.48,   -1285.47,    28.0073, 0, 33, 3, 2.4 
Line.L106,    18.4512,     4.61,     3.08,    40.0506,    20.0405, 1, 1, 1, 2.4 
Line.L107,    65.8841,    16.47,    10.98,    137.078,    68.8234, 1, 5, 1, 2.4 
Line.L108,    237.706,    59.43,    39.62,   -1424.39,   -43.9444, 0, 38, 3, 2.4 
Line.L109,    46.5973,    11.65,     7.77,    96.5927,    48.4068, 0, 4, 1, 2.4 
Line.L110,    9.66907,     2.42,     1.61,    20.0129,    10.0091, 1, 1, 1, 2.4 
Line.L111,    36.9285,     9.23,     6.15,    76.4178,    38.2593, 1, 3, 1, 2.4 
Line.L112,    27.6117,     6.90,     4.60,    57.1028,    28.5869, 1, 2, 1, 2.4 
Line.L113,    9.69154,     2.42,     1.62,    20.0071,     10.005, 1, 1, 1, 2.4 
Line.L114,    367.181,    91.80,    61.20,    2221.19,     581.46, 1, 54, 3, 2.4 
Line.L116,          0,     0.00,     0.00,          0,          0, 0, 0, 3, 2.4 
Line.L117, 1.79285E-009,     0.00,     0.00, -4.29705E-011, -6.35297E-009, 0, 0, 3, 2.4 
Line.SW1,    472.476,   118.12,    78.75,    2914.85,    993.388, 0, 0, 3, 2.4 
Line.SW3,    367.181,    91.80,    61.20,    2221.19,     581.46, 0, 54, 3, 2.4 
Line.SW5,    178.067,    44.52,    29.68,   -1102.55,    122.597, 0, 28, 3, 2.4 
Line.SW6,          0,     0.00,     0.00,          0,          0, 0, 0, 3, 2.4 
Line.SW7,    237.706,    59.43,    39.62,    1431.57,    56.2983, 0, 38, 3, 2.4 
Line.SW8,          0,     0.00,     0.00,          0,          0, 0, 0, 1, 2.4 
Transformer.XFM1,          0,     0.00,     0.00,          0,          0, 0, 0, 3, 2.4 
Capacitor.C83,    84.3969,    75.07,    56.31,          0,   -590.149, 0, 0, 3, 2.4 
Capacitor.C88A,    20.0589,    71.38,    53.54,          0,   -46.4292, 0, 0, 1, 2.4 
Capacitor.C90B,    20.9269,    74.47,    55.85,          0,   -50.5343, 0, 0, 1, 2.4 
Capacitor.C92C,    20.6143,    73.36,    55.02,          0,    -49.036, 0, 0, 1, 2.4 
Transformer.REG2A,    14.0542,     1.53,     1.13,    30.9373,    15.4749, 0, 2, 1, 2.4 
Transformer.REG3A,     18.633,     2.03,     1.49,    40.2267,    20.1546, 0, 0, 1, 2.4 
Transformer.REG4A, 9.31323E-010,     0.00,     0.00, -1.75121E-010, -2.04967E-009, 0, 0, 1, 2.4 
Transformer.REG3C,     18.448,     2.01,     1.48,    40.0398,    20.0305, 0, 3, 1, 2.4 
Transformer.REG4B, 1.86265E-009,     0.00,     0.00, -2.45285E-009, -3.75975E-009, 0, 0, 1, 2.4 
Transformer.REG4C, 1.31709E-009,     0.00,     0.00, -2.88432E-009, 9.36315E-010, 0, 0, 1, 2.4 
