Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.L12,     46.397,    92.64,          0,     0.00,          0,     0.00,          0,     0.00,     46.397,    92.64,    46.3971,   -87.36,          0,     0.00,          0,     0.00,          0,     0.00,    46.3971,   -87.36
Line.L13,    440.613,   -19.37,    315.569,  -137.77,    331.342,   104.49,          0,     0.00,    105.925,   -20.71,    440.614,   160.63,     315.57,    42.23,    331.343,   -75.51,          0,     0.00,    105.925,   159.29
Line.L14,    9.48468,   -27.46,          0,     0.00,          0,     0.00,          0,     0.00,    9.48468,   -27.46,    9.48487,   152.54,          0,     0.00,          0,     0.00,          0,     0.00,    9.48487,   152.54
Line.L15,    4.65827,   -27.46,          0,     0.00,          0,     0.00,          0,     0.00,    4.65827,   -27.46,    4.65846,   152.54,          0,     0.00,          0,     0.00,          0,     0.00,    4.65846,   152.54
Line.L16,    18.2007,    92.63,          0,     0.00,          0,     0.00,          0,     0.00,    18.2007,    92.63,     18.201,   -87.37,          0,     0.00,          0,     0.00,          0,     0.00,     18.201,   -87.37
Line.L17,    9.09593,    92.64,          0,     0.00,          0,     0.00,          0,     0.00,    9.09593,    92.64,    9.09621,   -87.37,          0,     0.00,          0,     0.00,          0,     0.00,    9.09621,   -87.37
Line.L18,    27.8921,   -28.48,          0,     0.00,          0,     0.00,          0,     0.00,    27.8921,   -28.48,    27.8923,   151.52,          0,     0.00,          0,     0.00,          0,     0.00,    27.8923,   151.52
Line.L19,    46.6887,   -28.60,    19.1856,  -147.70,    55.3303,    92.27,          0,     0.00,    32.0103,    45.14,     46.689,   151.40,    19.1859,    32.29,    55.3307,   -87.73,          0,     0.00,    32.0103,  -134.86
Line.L20,    18.6336,   -28.48,          0,     0.00,          0,     0.00,          0,     0.00,    18.6336,   -28.48,    18.6338,   151.52,          0,     0.00,          0,     0.00,          0,     0.00,    18.6338,   151.52
Line.L21,    19.1874,  -147.72,          0,     0.00,          0,     0.00,          0,     0.00,    19.1874,  -147.72,    19.1879,    32.28,          0,     0.00,          0,     0.00,          0,     0.00,    19.1879,    32.28
Line.L22,     46.689,   -28.60, 0.00388041,   -34.75,    55.3307,    92.27,          0,     0.00,    50.8963,    40.33,    46.6893,   151.40, 0.00326455,   145.25,    55.3311,   -87.73,          0,     0.00,    50.8963,  -139.67
Line.L23,    18.4378,    92.27,          0,     0.00,          0,     0.00,          0,     0.00,    18.4378,    92.27,    18.4382,   -87.73,          0,     0.00,          0,     0.00,          0,     0.00,    18.4382,   -87.73
Line.L24,    46.6893,   -28.60, 0.00326455,   -34.75,    36.8933,    92.27,          0,     0.00,    42.1126,    20.16,    46.6896,   151.40, 0.00258705,   145.26,    36.8937,   -87.73,          0,     0.00,    42.1126,  -159.84
Line.L25,     18.633,   -28.61,     18.564,    92.27,          0,     0.00,          0,     0.00,    18.3487,    31.64,    18.6332,   151.38,    18.5644,   -87.73,          0,     0.00,          0,     0.00,     18.349,  -148.36
Line.L26,    28.0566,   -28.59, 0.00258705,   -34.74,    18.4458,    92.27,          0,     0.00,    24.4249,    11.82,    28.0568,   151.41, 0.00209429,   145.26,    18.4461,   -87.73,          0,     0.00,    24.4248,  -168.18
Line.L27,    18.6332,   -28.62, 0.000605142,  -142.14,          0,     0.00,          0,     0.00,     18.633,   -28.62,    18.6334,   151.38, 7.27596E-012,     0.00,          0,     0.00,          0,     0.00,    18.6334,   151.38
Line.L28,    18.5648,    92.27,          0,     0.00,          0,     0.00,          0,     0.00,    18.5648,    92.27,     18.565,   -87.73,          0,     0.00,          0,     0.00,          0,     0.00,     18.565,   -87.73
Line.L29,    18.6334,   -28.62,          0,     0.00,          0,     0.00,          0,     0.00,    18.6334,   -28.62,    18.6338,   151.38,          0,     0.00,          0,     0.00,          0,     0.00,    18.6338,   151.38
Line.L30,    18.7399,   -28.60, 0.00209429,   -34.74,    18.4461,    92.27,          0,     0.00,    18.3523,    31.03,    18.7402,   151.40, 0.00135513,   145.26,    18.4465,   -87.73,          0,     0.00,    18.3523,  -148.97
Line.L31, 0.00157674,    83.88, 0.00135513,   -34.74,    18.4465,    92.27,          0,     0.00,    18.4473,    92.26, 0.000573367,   -96.12, 0.000492773,   145.26,    18.4471,   -87.74,          0,     0.00,    18.4473,   -87.74
Line.L32, 0.000573367,    83.88, 0.000492773,   -34.74, 0.000538269,  -143.42,          0,     0.00, 4.61654E-005,   -43.00, 3.17673E-011,   113.63, 4.06738E-012,   116.57, 2.99995E-011,  -104.04,          0,     0.00, 2.2129E-011,   170.54
Line.L33,    9.28408,    92.27,          0,     0.00,          0,     0.00,          0,     0.00,    9.28408,    92.27,    9.28431,   -87.74,          0,     0.00,          0,     0.00,          0,     0.00,    9.28431,   -87.74
Line.L34,    27.2966,    92.63,          0,     0.00,          0,     0.00,          0,     0.00,    27.2966,    92.63,    27.2966,   -87.37,          0,     0.00,          0,     0.00,          0,     0.00,    27.2966,   -87.37
Line.L35,    18.6314,   -28.77,    18.3964,  -147.95,          0,     0.00,          0,     0.00,    18.7432,   -87.74,    18.6323,   151.23,    18.3968,    32.04,          0,     0.00,          0,     0.00,    18.7436,    92.25
Line.L36,    338.877,   -17.51,    270.756,  -134.93,    277.514,   106.91,          0,     0.00,    58.4511,   -28.75,    338.877,   162.49,    270.757,    45.07,    277.514,   -73.09,          0,     0.00,    58.4511,   151.25
Line.L37,    18.6323,   -28.77,          0,     0.00,          0,     0.00,          0,     0.00,    18.6323,   -28.77,    18.6325,   151.22,          0,     0.00,          0,     0.00,          0,     0.00,    18.6325,   151.22
Line.L38,    18.3968,  -147.96,          0,     0.00,          0,     0.00,          0,     0.00,    18.3968,  -147.96,     18.397,    32.04,          0,     0.00,          0,     0.00,          0,     0.00,     18.397,    32.04
Line.L39,       9.08,  -147.96,          0,     0.00,          0,     0.00,          0,     0.00,       9.08,  -147.96,    9.08025,    32.04,          0,     0.00,          0,     0.00,          0,     0.00,    9.08025,    32.04
Line.L40,    9.23509,    92.01,          0,     0.00,          0,     0.00,          0,     0.00,    9.23509,    92.01,    9.23534,   -87.99,          0,     0.00,          0,     0.00,          0,     0.00,    9.23534,   -87.99
Line.L41,    338.877,   -17.51,    270.757,  -134.93,      268.6,   107.42,          0,     0.00,    63.6715,   -35.91,    338.877,   162.49,    270.757,    45.07,      268.6,   -72.58,          0,     0.00,    63.6716,   144.09
Line.L42,    19.0707,  -148.19,          0,     0.00,          0,     0.00,          0,     0.00,    19.0707,  -148.19,    19.0711,    31.80,          0,     0.00,          0,     0.00,          0,     0.00,    19.0711,    31.80
Line.L43,    329.702,   -17.18,    252.233,  -133.93,      268.6,   107.42,          0,     0.00,    63.7768,   -20.89,    329.702,   162.82,    252.233,    46.07,      268.6,   -72.58,          0,     0.00,    63.7769,   159.11
Line.L44,    18.7232,   -29.26,          0,     0.00,          0,     0.00,          0,     0.00,    18.7232,   -29.26,    18.7233,   150.74,          0,     0.00,          0,     0.00,          0,     0.00,    18.7233,   150.74
Line.L45,    311.418,   -16.46,    252.233,  -133.93,      268.6,   107.42,          0,     0.00,    45.3353,   -17.44,    311.419,   163.54,    252.233,    46.07,      268.6,   -72.58,          0,     0.00,    45.3353,   162.56
Line.L46,    9.40646,   -29.26,          0,     0.00,          0,     0.00,          0,     0.00,    9.40646,   -29.26,    9.40668,   150.74,          0,     0.00,          0,     0.00,          0,     0.00,    9.40668,   150.74
Line.L47,    35.3556,   -38.40,    36.5849,  -157.37,     35.902,    82.68,          0,     0.00,      1.546,  -163.95,    35.3557,   141.60,    36.5852,    22.63,    35.9022,   -97.32,          0,     0.00,    1.54614,    16.05
Line.L48,    262.767,   -12.11,    203.393,  -127.82,    220.878,   113.27,          0,     0.00,    46.7679,   -16.02,    262.767,   167.89,    203.393,    52.18,    220.878,   -66.73,          0,     0.00,    46.7677,   163.98
Line.L49,    246.622,   -10.23,    173.759,  -122.08,    205.795,   115.23,          0,     0.00,    62.8702,    -4.45,    246.622,   169.77,    173.759,    57.92,    205.795,   -64.77,          0,     0.00,      62.87,   175.55
Line.L50,    246.622,   -10.23,    173.759,  -122.08,    188.906,   117.51,          0,     0.00,    67.3799,   -20.41,    246.622,   169.77,    173.759,    57.92,    188.906,   -62.49,          0,     0.00,    67.3797,   159.59
Line.L51,    237.706,    -9.46,    173.759,  -122.08,    188.906,   117.51,          0,     0.00,    58.0387,   -18.86,    237.706,   170.54,     173.76,    57.92,    188.906,   -62.49,          0,     0.00,    58.0384,   161.14
Line.L52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.L53,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.L54,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.L55,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.L56,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.L57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.L58,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.L59,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.L60,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.L61,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.L62,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.L63,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.L64,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.L65,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.L66,    58.0781,   -31.50,          0,     0.00,          0,     0.00,          0,     0.00,    58.0781,   -31.50,    58.0782,   148.49,          0,     0.00,          0,     0.00,          0,     0.00,    58.0782,   148.49
Line.L67,    117.418,    17.45,    127.225,  -110.53,     133.78,   130.37,          0,     0.00,    26.3547,   136.95,    117.418,  -162.55,    127.225,    69.47,     133.78,   -49.63,          0,     0.00,    26.3547,   -43.05
Line.L68,    161.606,  -178.28,    127.225,    69.47,     133.78,   -49.63,          0,     0.00,    32.6846,   157.78,    161.606,     1.72,    127.225,  -110.53,    133.781,   130.37,          0,     0.00,    32.6847,   -22.22
Line.L69,    48.4219,   -31.51,          0,     0.00,          0,     0.00,          0,     0.00,    48.4219,   -31.51,    48.4221,   148.49,          0,     0.00,          0,     0.00,          0,     0.00,    48.4221,   148.49
Line.L70,    29.0739,   -31.52,          0,     0.00,          0,     0.00,          0,     0.00,    29.0739,   -31.52,    29.0741,   148.48,          0,     0.00,          0,     0.00,          0,     0.00,    29.0741,   148.48
Line.L71,    19.3874,   -31.53,          0,     0.00,          0,     0.00,          0,     0.00,    19.3874,   -31.53,    19.3876,   148.47,          0,     0.00,          0,     0.00,          0,     0.00,    19.3876,   148.47
Line.L72,    56.1708,    90.30,          0,     0.00,          0,     0.00,          0,     0.00,    56.1708,    90.30,     56.171,   -89.70,          0,     0.00,          0,     0.00,          0,     0.00,     56.171,   -89.70
Line.L73,    117.418,    17.45,    127.225,  -110.53,    97.7313,   152.08,          0,     0.00,    42.6325,  -116.42,    117.418,  -162.55,    127.225,    69.47,    97.7309,   -27.92,          0,     0.00,    42.6325,    63.58
Line.L74,      37.29,    90.29,          0,     0.00,          0,     0.00,          0,     0.00,      37.29,    90.29,    37.2902,   -89.71,          0,     0.00,          0,     0.00,          0,     0.00,    37.2902,   -89.71
Line.L75,    18.9332,    90.28,          0,     0.00,          0,     0.00,          0,     0.00,    18.9332,    90.28,    18.9335,   -89.72,          0,     0.00,          0,     0.00,          0,     0.00,    18.9335,   -89.72
Line.L76,    72.3125,    57.30,    75.5663,   -59.42,    73.8482,   179.41,          0,     0.00,     5.0308,   -43.26,    72.3115,  -122.70,    75.5655,   120.58,    73.8472,    -0.59,          0,     0.00,    5.03071,   136.74
Line.L77,    34.7025,    -0.52,     58.655,  -131.49,    20.7824,   152.74,          0,     0.00,    41.4558,  -123.09,    34.7022,   179.48,    58.6555,    48.51,    20.7811,   -27.26,          0,     0.00,    41.4559,    56.91
Line.L78,    72.3115,    57.30,    77.9465,   -45.73,    73.8472,   179.41,          0,     0.00,    20.4714,    16.45,    72.3113,  -122.70,    77.9463,   134.27,     73.847,    -0.59,          0,     0.00,    20.4714,  -163.55
Line.L79,     18.017,   -31.68, 0.000541926,   -29.73, 0.000635645,  -149.50,          0,     0.00,    18.0173,   -31.68,    18.0172,   148.32, 1.09139E-011,   -90.00, 1.62695E-011,  -153.43,          0,     0.00,    18.0172,   148.32
Line.L80,    74.2119,    71.35,    77.9458,   -45.73,    73.8464,   179.41,          0,     0.00,    15.8556,    74.26,    74.2107,  -108.65,    77.9447,   134.27,    73.8453,    -0.59,          0,     0.00,    15.8556,  -105.74
Line.L81,    74.2107,    71.35,    84.3985,   -33.51,    73.8453,   179.41,          0,     0.00,    31.7662,    50.38,    74.2102,  -108.65,    84.3981,   146.49,    73.8448,    -0.59,          0,     0.00,    31.7661,  -129.62
Line.L82,    74.2102,    71.35,    84.3981,   -33.51,    78.7933,  -159.54,          0,     0.00,    20.6363,   -10.71,    74.2096,  -108.65,    84.3975,   146.49,    78.7926,    20.46,          0,     0.00,    20.6363,   169.29
Line.L83,    28.3053,    90.04,          0,     0.00,          0,     0.00,          0,     0.00,    28.3053,    90.04,    28.3058,   -89.96,          0,     0.00,          0,     0.00,          0,     0.00,    28.3058,   -89.96
Line.L84,    80.7769,    84.74,    84.3975,   -33.51,    78.7926,  -159.54,          0,     0.00,    7.42528,    57.88,    80.7763,   -95.26,    84.3969,   146.49,    78.7919,    20.46,          0,     0.00,    7.42527,  -122.12
Line.L85,     18.878,    90.03,          0,     0.00,          0,     0.00,          0,     0.00,     18.878,    90.03,    18.8784,   -89.97,          0,     0.00,          0,     0.00,          0,     0.00,    18.8784,   -89.97
Line.L86,    34.7022,    -0.52,    49.9707,  -128.12,    20.7811,   152.74,          0,     0.00,    33.4708,  -115.90,     34.702,   179.48,    49.9708,    51.88,    20.7805,   -27.26,          0,     0.00,    33.4708,    64.10
Line.L87,    20.7127,    28.35,          0,     0.00,          0,     0.00,          0,     0.00,    20.7127,    28.35,    20.7126,  -151.65,          0,     0.00,          0,     0.00,          0,     0.00,    20.7126,  -151.65
Line.L88,    19.3487,   -31.65,    33.5224,  -116.21,    20.7805,   152.74,          0,     0.00,     35.006,  -118.69,    19.3489,   148.35,    33.5223,    63.79,      20.78,   -27.27,          0,     0.00,     35.006,    61.31
Line.L89,    20.8901,   -86.52,          0,     0.00,          0,     0.00,          0,     0.00,    20.8901,   -86.52,    20.8898,    93.48,          0,     0.00,          0,     0.00,          0,     0.00,    20.8898,    93.48
Line.L90,    19.3489,   -31.65,    18.5336,  -150.15,      20.78,   152.73,          0,     0.00,    20.5878,  -151.40,    19.3491,   148.35,    18.5339,    29.85,    20.7797,   -27.27,          0,     0.00,    20.5879,    28.60
Line.L91,    20.7789,   152.73,          0,     0.00,          0,     0.00,          0,     0.00,    20.7789,   152.73,    20.7786,   -27.27,          0,     0.00,          0,     0.00,          0,     0.00,    20.7786,   -27.27
Line.L92,    19.3491,   -31.65,    18.5339,  -150.15, 0.00148279,  -149.50,          0,     0.00,    19.3811,   -88.83,    19.3493,   148.35,    18.5342,    29.84, 0.000847317,    30.50,          0,     0.00,    19.3811,    91.17
Line.L93,    19.3496,   -31.65,          0,     0.00,          0,     0.00,          0,     0.00,    19.3496,   -31.65,    19.3498,   148.35,          0,     0.00,          0,     0.00,          0,     0.00,    19.3498,   148.35
Line.L94, 0.00077585,    77.14,    18.5342,  -150.16, 0.000847317,  -149.50,          0,     0.00,    18.5345,  -150.16, 6.55846E-012,    33.69,    18.5345,    29.84, 1.09139E-011,     0.00,          0,     0.00,    18.5345,    29.84
Line.L95,    9.26832,  -150.16,          0,     0.00,          0,     0.00,          0,     0.00,    9.26832,  -150.16,    9.26848,    29.84,          0,     0.00,          0,     0.00,          0,     0.00,    9.26848,    29.84
Line.L96,    19.2676,   -31.32,    18.4481,  -149.60,     18.426,    90.48,          0,     0.00,    1.00697,   -67.03,    19.2678,   148.67,    18.4486,    30.40,    18.4263,   -89.52,          0,     0.00,    1.00699,   112.97
Line.L97, 0.00385746,    81.91,    18.4486,  -149.60,    18.4263,    90.48,          0,     0.00,    18.4609,   150.49,  0.0025717,   -98.09,    18.4494,    30.39,    18.4269,   -89.53,          0,     0.00,    18.4609,   -29.51
Line.L98,  0.0025717,    81.91,  0.0029269,   -25.06,    18.4269,    90.47,          0,     0.00,    18.4281,    90.46, 0.00187034,   -98.09, 0.00212865,   154.94,    18.4272,   -89.53,          0,     0.00,    18.4281,   -89.54
Line.L99, 0.00187034,    81.91, 0.00212865,   -25.06,  0.0022604,  -157.94,          0,     0.00, 0.00013981,    46.33, 5.91172E-012,   112.62, 5.32268E-012,   -19.98, 3.63798E-012,    90.00,          0,     0.00, 7.77073E-012,    69.44
Line.L118,    178.067,   178.34,    142.025,    64.77,     148.39,   -54.20,          0,     0.00,    33.4066,   156.56,    178.067,    -1.66,    142.025,  -115.23,     148.39,   125.80,          0,     0.00,    33.4066,   -23.44
Line.L100,    47.1981,    90.54,          0,     0.00,          0,     0.00,          0,     0.00,    47.1981,    90.54,    47.1983,   -89.46,          0,     0.00,          0,     0.00,          0,     0.00,    47.1983,   -89.46
Line.L101,    178.067,   178.34,    142.025,    64.77,    188.905,   -62.49,          0,     0.00,    45.4085,  -131.69,    178.067,    -1.66,    142.025,  -115.23,    188.905,   117.51,          0,     0.00,    45.4086,    48.31
Line.L102,    37.7776,    90.54,          0,     0.00,          0,     0.00,          0,     0.00,    37.7776,    90.54,    37.7779,   -89.46,          0,     0.00,          0,     0.00,          0,     0.00,    37.7779,   -89.46
Line.L103,    18.9055,    90.53,          0,     0.00,          0,     0.00,          0,     0.00,    18.9055,    90.53,     18.906,   -89.48,          0,     0.00,          0,     0.00,          0,     0.00,     18.906,   -89.48
Line.L104,     36.877,  -149.45,          0,     0.00,          0,     0.00,          0,     0.00,     36.877,  -149.45,    36.8771,    30.55,          0,     0.00,          0,     0.00,          0,     0.00,    36.8771,    30.55
Line.L105,    178.067,   178.34,     173.76,    57.92,    188.905,   -62.49,          0,     0.00,    15.2436,   -84.14,    178.067,    -1.66,     173.76,  -122.08,    188.905,   117.51,          0,     0.00,    15.2436,    95.86
Line.L106,    18.4512,  -149.46,          0,     0.00,          0,     0.00,          0,     0.00,    18.4512,  -149.46,    18.4516,    30.54,          0,     0.00,          0,     0.00,          0,     0.00,    18.4516,    30.54
Line.L107,    65.8841,   -30.99,          0,     0.00,          0,     0.00,          0,     0.00,    65.8841,   -30.99,    65.8844,   149.01,          0,     0.00,          0,     0.00,          0,     0.00,    65.8844,   149.01
Line.L108,    237.706,   170.54,     173.76,    57.92,    188.905,   -62.49,          0,     0.00,    58.0384,   161.14,    237.706,    -9.46,     173.76,  -122.08,    188.906,   117.51,          0,     0.00,    58.0384,   -18.86
Line.L109,    46.5973,   -31.01,          0,     0.00,          0,     0.00,          0,     0.00,    46.5973,   -31.01,    46.5975,   148.99,          0,     0.00,          0,     0.00,          0,     0.00,    46.5975,   148.99
Line.L110,    9.66907,   -30.99,          0,     0.00,          0,     0.00,          0,     0.00,    9.66907,   -30.99,    9.66949,   149.01,          0,     0.00,          0,     0.00,          0,     0.00,    9.66949,   149.01
Line.L111,    36.9285,   -31.01,          0,     0.00,          0,     0.00,          0,     0.00,    36.9285,   -31.01,    36.9286,   148.99,          0,     0.00,          0,     0.00,          0,     0.00,    36.9286,   148.99
Line.L112,    27.6117,   -31.02,          0,     0.00,          0,     0.00,          0,     0.00,    27.6117,   -31.02,    27.6121,   148.98,          0,     0.00,          0,     0.00,          0,     0.00,    27.6121,   148.98
Line.L113,    9.69154,   -31.02,          0,     0.00,          0,     0.00,          0,     0.00,    9.69154,   -31.02,    9.69178,   148.97,          0,     0.00,          0,     0.00,          0,     0.00,    9.69178,   148.97
Line.L114,    367.181,   -17.52,     296.69,  -137.13,    277.514,   106.91,          0,     0.00,    69.9767,   -42.03,    367.181,   162.48,    296.691,    42.87,    277.514,   -73.09,          0,     0.00,    69.9767,   137.97
Line.L116,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.L117, 1.52459E-011,    72.65, 1.79285E-009,   -33.01, 8.30105E-010,  -151.75,          0,     0.00, 1.56195E-009,   -60.18, 0.000906638,    77.41, 0.000843083,   -29.47, 0.000988202,  -149.27,          0,     0.00, 8.92315E-005,   -23.01
Line.SW1,    472.476,   -19.91,    333.267,  -138.26,    422.828,   101.96,          0,     0.00,    112.291,    15.94,    472.476,   160.09,    333.267,    41.74,    422.828,   -78.04,          0,     0.00,    112.291,  -164.06
Line.SW3,    367.181,   -17.52,     296.69,  -137.13,    277.514,   106.91,          0,     0.00,    69.9767,   -42.03,    367.181,   162.48,     296.69,    42.87,    277.514,   -73.09,          0,     0.00,    69.9767,   137.97
Line.SW5,    178.067,   178.34,    142.025,    64.77,     148.39,   -54.20,          0,     0.00,    33.4066,   156.56,    178.067,    -1.66,    142.025,  -115.23,     148.39,   125.80,          0,     0.00,    33.4066,   -23.44
Line.SW6,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.SW7,    237.706,    -9.46,     173.76,  -122.08,    188.906,   117.51,          0,     0.00,    58.0384,   -18.86,    237.706,   170.54,     173.76,    57.92,    188.906,   -62.49,          0,     0.00,    58.0384,   161.14
Line.SW8,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Transformer.XFM1,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Capacitor.C83,    80.7763,    84.74,    84.3969,   -33.51,     82.543,  -153.41,          0,     0.00,    5.02422,   -38.14,    80.7763,   -95.26,    84.3969,   146.49,     82.543,    26.59,          0,     0.00,    5.02422,   141.86
Capacitor.C88A,    20.0589,    84.89,          0,     0.00,          0,     0.00,          0,     0.00,    20.0589,    84.89,    20.0589,   -95.11,          0,     0.00,          0,     0.00,          0,     0.00,    20.0589,   -95.11
Capacitor.C90B,    20.9269,   -33.59,          0,     0.00,          0,     0.00,          0,     0.00,    20.9269,   -33.59,    20.9269,   146.41,          0,     0.00,          0,     0.00,          0,     0.00,    20.9269,   146.41
Capacitor.C92C,    20.6143,  -153.25,          0,     0.00,          0,     0.00,          0,     0.00,    20.6143,  -153.25,    20.6143,    26.75,          0,     0.00,          0,     0.00,          0,     0.00,    20.6143,    26.75
Transformer.REG2A,    14.0542,   -27.46,    14.0542,   152.54,          0,     0.00,          0,     0.00,          0,     0.00,    14.1426,   152.54,    14.1426,   -27.46,          0,     0.00,          0,     0.00,          0,     0.00
Transformer.REG3A,     18.633,   -28.61,     18.633,   151.39,          0,     0.00,          0,     0.00,          0,     0.00,     18.633,   151.39,     18.633,   -28.61,          0,     0.00,          0,     0.00,          0,     0.00
