Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"98", 4.16, 1,     485.36,  -61.8,   0.20208, 2,    3190.18, -161.5,    1.3283, 3,    2937.86,  104.3,    1.2232
"99", 4.16, 1,     485.36,  -61.8,   0.20208, 2,    3190.18, -161.5,    1.3283, 3,    2937.86,  104.3,    1.2232
"100", 4.16, 1,     485.36,  -61.8,   0.20208, 2,    3190.18, -161.5,    1.3283, 3,    2937.87,  104.3,    1.2232
"450", 4.16, 1,     485.36,  -61.8,   0.20208, 2,    3190.18, -161.5,    1.3283, 3,    2937.87,  104.3,    1.2232
"11", 4.16, 1,    1934.49,  -31.9,   0.80544, 0, 0, 0, 0, 0, 0, 0, 0
"85", 4.16, 3,    2937.88,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"62", 4.16, 1,    190.339,  -61.8,  0.079249, 2,    3188.35, -163.1,    1.3275, 3,    2937.62,  104.7,    1.2231
"63", 4.16, 1, 0.000103248,  -87.7, 4.2988E-008, 2,    3202.45, -164.3,    1.3334, 3,     2999.9,  105.0,     1.249
"64", 4.16, 1, 0.00010272,  -87.7, 4.2768E-008, 2,    3202.45, -164.3,    1.3334, 3,     2999.9,  105.0,     1.249
"65", 4.16, 1, 0.000102208,  -87.6, 4.2555E-008, 2,    3202.45, -164.3,    1.3334, 3,     2999.9,  105.0,     1.249
"66", 4.16, 1, 0.000102132,  -87.5, 4.2523E-008, 2,    3202.45, -164.3,    1.3334, 3,     2999.9,  105.0,     1.249
"CAPACITOR 01", 4.16, 1,    485.357,  -61.8,   0.20208, 2,    3190.19, -161.5,    1.3283, 3,    2937.88,  104.3,    1.2232
"CAPACITOR 02", 4.16, 1,    485.359,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"CAPACITOR 03", 4.16, 2,    3190.19, -161.5,    1.3283, 0, 0, 0, 0, 0, 0, 0, 0
"CAPACITOR 04", 4.16, 3,    2937.88,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"251", 4.16, 1,    1762.06,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.27,   95.1,    1.0835
"LOAD S31C", 115, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S100C", 4.16, 3,    2937.87,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S102C", 4.16, 3,    2937.86,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S103C", 4.16, 3,    2937.86,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S104C", 4.16, 3,    2937.87,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 106B", 4.16, 2,    3190.18, -161.5,    1.3283, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S107B", 4.16, 2,    3190.18, -161.5,    1.3283, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S109A", 4.16, 1,    485.361,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S10A", 4.16, 1,    1934.49,  -31.9,   0.80544, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S111A", 4.16, 1,    485.361,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S112A", 4.16, 1,    485.361,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S113A", 4.16, 1,    485.361,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S114A", 4.16, 1,    485.361,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S11A", 4.16, 1,    1934.49,  -31.9,   0.80544, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S12B", 4.16, 2,    2692.57, -153.7,    1.1211, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S16C", 4.16, 3,    2602.26,   95.1,    1.0835, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S17C", 4.16, 3,    2602.26,   95.1,    1.0835, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S19A", 4.16, 1,    1762.06,  -32.8,   0.73365, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S1A", 4.16, 1,    2255.15,  -30.8,   0.93895, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S20A", 4.16, 1,    1762.06,  -32.8,   0.73365, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S22B", 4.16, 2,    2757.31, -154.9,     1.148, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S24C", 4.16, 3,    2602.27,   95.1,    1.0835, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S28A", 4.16, 1,    1762.06,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.27,   95.1,    1.0835
"LOAD S29A", 4.16, 1,    1762.06,  -32.8,   0.73365, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S2B", 4.16, 2,    2587.19, -151.7,    1.0772, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S30C", 4.16, 3,    2602.27,   95.1,    1.0835, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S32C", 115, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S33A", 4.16, 1,    1762.06,  -32.8,   0.73365, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S34C", 4.16, 3,    2602.26,   95.1,    1.0835, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S35A", 4.16, 1,    1762.06,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 0, 0, 0, 0
"LOAD S37A", 4.16, 1,    1762.06,  -32.8,   0.73365, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S38B", 115, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S39B", 115, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S41C", 4.16, 3,    2602.27,   95.1,    1.0835, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S42A", 4.16, 1,    1762.06,  -32.8,   0.73365, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S43B", 4.16, 2,    2757.32, -154.9,     1.148, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S45A", 4.16, 1,    1762.07,  -32.8,   0.73365, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S46A", 4.16, 1,    1762.07,  -32.8,   0.73365, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S47", 4.16, 1,    1762.07,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.28,   95.1,    1.0835
"LOAD S48", 4.16, 1,    1762.07,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.28,   95.1,    1.0835
"LOAD S49A", 4.16, 1,    1762.07,  -32.8,   0.73365, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S49B", 4.16, 2,    2757.32, -154.9,     1.148, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S49C", 4.16, 3,    2602.28,   95.1,    1.0835, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S4C", 4.16, 3,    2536.22,   91.7,     1.056, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S50C", 4.16, 3,    2602.28,   95.1,    1.0835, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S51A", 4.16, 1,    1762.07,  -32.8,   0.73365, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S52A", 4.16, 1,    1278.97,  -36.6,   0.53251, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S53A", 4.16, 1,    1158.04,  -38.1,   0.48216, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S55A", 4.16, 1,    1082.88,  -39.1,   0.45087, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S56B", 4.16, 2,    2996.11, -158.8,    1.2475, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S58B", 4.16, 2,    3050.79, -159.7,    1.2702, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S59B", 4.16, 2,    3050.79, -159.7,    1.2702, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S5C", 4.16, 3,    2536.23,   91.7,     1.056, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S60A", 4.16, 1,    462.253,  -61.8,   0.19246, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S62C", 4.16, 3,    2937.62,  104.7,    1.2231, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S63A", 4.16, 1, 0.000103248,  -87.7, 4.2988E-008, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S64B", 4.16, 2,    3202.45, -164.3,    1.3334, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S65A", 4.16, 1, 0.000102208,  -87.6, 4.2555E-008, 2,    3202.45, -164.3,    1.3334, 0, 0, 0, 0
"LOAD S65B", 4.16, 2,    3202.45, -164.3,    1.3334, 3,     2999.9,  105.0,     1.249, 0, 0, 0, 0
"LOAD S65C", 4.16, 1, 0.000102208,  -87.6, 4.2555E-008, 3,     2999.9,  105.0,     1.249, 0, 0, 0, 0
"LOAD S66C", 4.16, 3,     2999.9,  105.0,     1.249, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 68A", 4.16, 1,     485.36,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S69A", 4.16, 1,     485.36,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S6C", 4.16, 3,    2536.23,   91.7,     1.056, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S70A", 4.16, 1,     485.36,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S71A", 4.16, 1,     485.36,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S73C", 4.16, 3,    2937.87,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S74C", 4.16, 3,    2937.87,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S75C", 4.16, 3,    2937.87,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 76A", 4.16, 1,    485.359,  -61.8,   0.20208, 2,    3190.18, -161.5,    1.3283, 0, 0, 0, 0
"LOAD S76B", 4.16, 2,    3190.18, -161.5,    1.3283, 3,    2937.87,  104.3,    1.2232, 0, 0, 0, 0
"LOAD 76C", 4.16, 1,    485.359,  -61.8,   0.20208, 3,    2937.87,  104.3,    1.2232, 0, 0, 0, 0
"LOAD S77B", 4.16, 2,    3190.18, -161.5,    1.3283, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S79A", 4.16, 1,    485.358,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S7A", 4.16, 1,    2069.95,  -31.4,   0.86184, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S80B", 4.16, 2,    3190.19, -161.5,    1.3283, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S82A", 4.16, 1,    485.357,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S83C", 4.16, 3,    2937.88,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S84C", 4.16, 3,    2937.88,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S85C", 4.16, 3,    2937.88,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S86B", 4.16, 2,    3190.19, -161.5,    1.3283, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S87B", 4.16, 2,    3190.19, -161.5,    1.3283, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S88A", 4.16, 1,    485.359,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S90B", 4.16, 2,    3190.19, -161.5,    1.3283, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S92C", 4.16, 3,    2937.88,  104.3,    1.2232, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S94A", 4.16, 1,    485.358,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S95B", 4.16, 2,    3190.19, -161.5,    1.3283, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S98A", 4.16, 1,     485.36,  -61.8,   0.20208, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S99B", 4.16, 2,    3190.18, -161.5,    1.3283, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S9A", 4.16, 1,    1946.65,  -31.9,   0.81051, 0, 0, 0, 0, 0, 0, 0, 0
"150R", 4.16, 1,    2503.89,  -30.0,    1.0425, 2,    2505.38, -150.0,    1.0431, 3,    2506.64,   90.0,    1.0437
"160", 4.16, 1,     462.25,  -61.8,   0.19246, 2,    3170.35, -161.5,      1.32, 3,    2848.82,  104.3,    1.1861
"61S", 4.16, 1,    462.253,  -61.8,   0.19246, 2,    3170.34, -161.5,      1.32, 3,    2848.81,  104.3,    1.1861
"300_OPEN", 4.16, 1,    1762.07,  -32.8,   0.73365, 2,    2757.32, -154.9,     1.148, 3,    2602.28,   95.1,    1.0835
"94_OPEN", 4.16, 1,    1082.88,  -39.1,   0.45087, 0, 0, 0, 0, 0, 0, 0, 0
"150", 4.16, 1,    2398.96,  -30.0,   0.99883, 2,    2400.48, -150.0,   0.99946, 3,    2401.69,   90.0,   0.99996
"610", 0.48, 1,    187.615,  -31.8,     0.677, 2,    270.929, -141.7,   0.97763, 3,    271.968,   78.7,   0.98138
